_id,meleid,sap,descripcion,linea
65f87eb98d297356122cbfaa,87,LB-00000803,LAVADORA 21 KG C/FRONTAL C/GRIS 7MWFW6621HC WHIRLPOOL,Linea Blanca
65f87eb98d297356122cbfab,88,LB-00000807,SECADORA ELECT. 21 KG  C/FRONTAL C/GRIS 7MWED6613HC WHIRLPOOL,Linea Blanca
65f87eb98d297356122cbfac,89,LB-00000809,COCINA ELECT. ACERO INOX. 4 HORNILLAS C/NEGRO WFE320M0JS WHIRLPOOL,Linea Blanca
65f87eb98d297356122cbfad,90,LB-00000820,DISPENSADOR DE AGUA C/NEGRO DABLWD1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfae,91,LB-00000826,FABRICADOR DE HIELO C/PLATA FH15S21 ICE MAKER,Linea Blanca
65f87eb98d297356122cbfaf,92,LB-00000827,FABRICADOR DE HIELO C/NEGRO FH15B21 ICE MAKER,Linea Blanca
65f87eb98d297356122cbfb0,93,LB-00000831,COCINA 30 PULG A GAS ACERO INOX. DA30ASST1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfb1,94,LB-00000848,MICROONDA 0.7 PIE ACERO INOX. C/GRIS WM1807D WHIRLPOOL,Linea Blanca
65f87eb98d297356122cbfb2,95,LB-00000851,TOPE ELECT. 60CM VIDRIO CERAMICA C/NEGRO DA60B4EH1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfb3,96,LB-00000852,TOPE ELECT.75CM VIDRIO CERAMICA C/NEGRO DA75B4EH1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfb4,97,LB-00000853,TOPE ELECT.90CM VIDRIO CERAMICA C/NEGRO DA90B5EH1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfb5,98,LB-00000854,MICROONDA 0.7 PIE C/GRIS CON NEGRO DA20SMW1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfb6,99,LB-00000855,MICROONDA 1.0 PIE C/NEGRO DA28BMW1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfb7,100,LB-00000856,MICROONDA 1.2 PIE C/GRIS CON NEGRO DA34SMW1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfb8,101,LB-00000857,MICROONDA 1.6 PIE C/NEGRO DA42BMW1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfb9,102,LB-00000858,MICROONDA 1.1 PIE C/GRIS CON NEGRO DA30SMW1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfba,103,LB-00000860,REFRIGERADOR 23 PIE SBS INVERTER ACERO INOX RS23T5B00S9 SAMSUNG,Linea Blanca
65f87eb98d297356122cbfbb,104,LB-00000872,LAVAVAJILLAS 24 PULG  ACERO INOX. C/GRIS DW80N3030US SAMSUNG,Linea Blanca
65f87eb98d297356122cbfbc,105,LB-00000873,LAVAVAJILLAS 24 PULG  ACERO INOX. C/GRIS DW80R2031US SAMSUNG,Linea Blanca
65f87eb98d297356122cbfbd,106,LB-00000883,REFRIGERADOR 16 PIE SBS INVERTER ACERO INOX DA16SSBS1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfbe,107,LB-00000884,REFRIGERADOR 21 PIE SBS C/ DISPENSADOR ACERO INOX DA21SDSBS1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfbf,108,LB-00000886,REFRIGERADOR 17 PIE TF INVERTER C/DISPENSADOR ACERO INOX DA17SDTM1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfc0,109,LB-00000904,CONGELADOR HORIZONTAL C/BLANCO DA05FWHF1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfc1,110,LB-00000905,CONGELADOR HORIZONTAL C/BLANCO DA06FWHF1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfc2,111,LB-00000906,CONGELADOR HORIZONTAL C/BLANCO DA08FWHF1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfc3,112,LB-00000907,CONGELADOR HORIZONTAL C/BLANCO DA10FWHF1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfc4,113,LB-00000908,CONGELADOR HORIZONTAL C/BLANCO DA13FWHF1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfc5,114,LB-00000909,CONGELADOR HORIZONTAL C/BLANCO DA16FWHF1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfc6,115,LB-00000913,HORNO ELECT. 10 FUNCIONES PANEL DIGITAL TOUCH C/NEGRO DA10EODPB1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfc7,116,LB-00000916,REFRIGERADOR 1.6 PIE EJECUTIVO C/BLANCO DA2MBW1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfc8,117,LB-00000917,REFRIGERADOR 2.5 PIE EJECUTIVO C/BLANCO DA3MBW1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfc9,118,LB-00000918,REFRIGERADOR 2.5 PIE EJECUTIVO C/PLATA DA3MBS1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfca,119,LB-00000919,REFRIGERADOR 3.3 PIE EJECUTIVO C/BLANCO DA4MBW1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfcb,120,LB-00000920,REFRIGERADOR 3.3 PIE EJECUTIVOC/PLATA DA4MBS1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfcc,121,LB-00000927,LAVAVAJILLAS 24 PULG C/ACERO INOXI FGIP2468UF FRIGIDAIRE,Linea Blanca
65f87eb98d297356122cbfcd,122,LB-00000931,CONGELADOR HORIZONTAL C/NEGRO DA08FMB1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfce,123,LB-00000933,CONGELADOR HORIZONTAL C/NEGRO DA11FMB1 DAEWOO,Linea Blanca
65f87eb98d297356122cbfcf,124,LB-00000940,A/A 24000 BTU SPLIT DA24BWSAC21 DAEWOO,Linea Blanca
65f87eb98d297356122cbfd0,125,LB-00000941,A/A  3 TON PISO TECHO DA3TWPTAC21 DAEWOO,Linea Blanca
65f87eb98d297356122cbfd1,126,LB-00000952,COCINA ELECT. 76 CM ACERO INOX. C/PLATA NE63A6711SS SAMSUNG,Linea Blanca
65f87eb98d297356122cbfd2,127,LB-00000953,COCINA ELECT. 76 CM ACERO INOX. C/PLATA NE63A6511SS SAMSUNG,Linea Blanca
65f87eb98d297356122cbfd3,128,LB-00000954,COCINA ELECT. 76 CM ACERO INOX. C/PLATA NE63A6311SS SAMSUNG,Linea Blanca
65f87eb98d297356122cbfd4,129,LB-00000962,COCINA A GAS 30 PULG SMART 5 HORNILLAS ACERO INOX. C/NEGRO NX60A6115SS SAMSUNG,Linea Blanca
65f87eb98d297356122cbfd5,130,LB-00000966,COCINA ELECT.30 PULG 5 HORNILLA ACERO INOX C/NEGRO FFEF3054TS FRIGIDAIRE,Linea Blanca
65f87eb98d297356122cbfd6,131,LB-00000970,LAVAVAJILLAS 24 PULG ACERO INOX C/PLATA FDSH4501AS FRIGIDAIRE,Linea Blanca
65f87eb98d297356122cbfd7,132,LB-00000971,HORNO ELECT. 30 PULG DOBLE ACERO INOX. C/PLATA ECWD3011AS ELECTROLUX,Linea Blanca
65f87eb98d297356122cbfd8,133,LB-00000972,HORNO ELECT. 30 PULG ACERO INOX. C/PLATA ECWS3011AS ELECTROLUX,Linea Blanca
65f87eb98d297356122cbfd9,134,LB-00000973,REFRIGERADOR 21 PIE FD 3 PUERTAS C/DISPENSADOR ACERO INOX EW23BC87SS ELECTROLUX,Linea Blanca
65f87eb98d297356122cbfda,135,LB-00000974,LAVAVAJILLAS 24 PULG ACERO INOX C/PLATA EDSH4944AS ELECTROLUX,Linea Blanca
65f87eb98d297356122cbfdb,136,LB-00000977,TOPE ELECT. 75 CM 5 HORNILLAS ACERO INOX. C/NEGRO KCES550HSS KITCHENAID,Linea Blanca
65f87eb98d297356122cbfdc,137,LB-00000991,FILTRO PURIFICADOR DE AIRE DA65WAP21 DA65F DAEWOO,Linea Blanca
65f87eb98d297356122cbfdd,138,LB-00000992,FILTRO PURIFICADOR DE AIRE DA270WAP21 DA270F DAEWOO,Linea Blanca
65f87eb98d297356122cbfde,139,LB-00001007,CALENTADOR DE AGUA TERMOELECTRICO DE 30 LTS BMWH30T21 BM,Linea Blanca
65f87eb98d297356122cbfdf,140,LB-00001008,CALENTADOR DE AGUA TERMOELECTRICO DE 50 LTS BMWH50T21 BM,Linea Blanca
65f87eb98d297356122cbfe0,141,LB-00001009,CALENTADOR DE AGUA TERMOELECTRICO DE 80 LTS BMWH80T21 BM,Linea Blanca
65f87eb98d297356122cbfe1,142,LB-00001023,COCINA ELECT. 6.3 PIE SMART WIFI 5 HORNILLAS ACERO INOX. C/PLATA LREL6325F LG,Linea Blanca
65f87eb98d297356122cbfe2,143,LB-00001027,COCINA ELECT. 6.3 PIE SMART WIFI 5 HORNILLAS ACERO INOX. C/NEGRO LREL6323D LG,Linea Blanca
65f87eb98d297356122cbfe3,144,LB-00001031,MICROONDA 1.5 PIE SMART INVERTER NEOCHEF C/NEGRO MH1536GIR LG,Linea Blanca
65f87eb98d297356122cbfe4,145,LB-00001036,LAVADORA/SECADORA 12 KG C/FRONTAL SMART C/GRIS WD12VVC3S6C LG,Linea Blanca
65f87eb98d297356122cbfe5,146,LB-00001041,REFRIGERADOR 22 PIE FD 3 PUERTAS INVERTER C/DISPENSADOR LM22SGPK LG,Linea Blanca
